team1,team2,winner,venue,city,date,toss_winner
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Kolkata,2016-04-10,Kolkata Knight Riders
Kings XI Punjab,Gujarat Lions,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-04-11,Gujarat Lions
Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2016-04-12,Sunrisers Hyderabad
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,2016-04-13,Mumbai Indians
Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,Saurashtra Cricket Association Stadium,Rajkot,2016-04-14,Rising Pune Supergiants
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,Delhi,2016-04-15,Delhi Daredevils
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-04-16,Sunrisers Hyderabad
Mumbai Indians,Gujarat Lions,Gujarat Lions,Wankhede Stadium,Mumbai,2016-04-16,Gujarat Lions
Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-04-17,Rising Pune Supergiants
Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,M Chinnaswamy Stadium,Bangalore,2016-04-17,Delhi Daredevils
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-04-18,Sunrisers Hyderabad
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-04-19,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai,2016-04-20,Mumbai Indians
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,Rajkot,2016-04-21,Sunrisers Hyderabad
Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Pune,2016-04-22,Rising Pune Supergiants
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi,2016-04-23,Mumbai Indians
Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-04-23,Sunrisers Hyderabad
Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,Saurashtra Cricket Association Stadium,Rajkot,2016-04-24,Royal Challengers Bangalore
Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,2016-04-24,Kolkata Knight Riders
Kings XI Punjab,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-04-25,Kings XI Punjab
Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-04-26,Rising Pune Supergiants
Delhi Daredevils,Gujarat Lions,Gujarat Lions,Feroz Shah Kotla,Delhi,2016-04-27,Delhi Daredevils
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,2016-04-28,Mumbai Indians
Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,Maharashtra Cricket Association Stadium,Pune,2016-04-29,Gujarat Lions
Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,Delhi,2016-04-30,Kolkata Knight Riders
Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-04-30,Royal Challengers Bangalore
Gujarat Lions,Kings XI Punjab,Kings XI Punjab,Saurashtra Cricket Association Stadium,Rajkot,2016-05-01,Gujarat Lions
Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,Maharashtra Cricket Association Stadium,Pune,2016-05-01,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2016-05-02,Kolkata Knight Riders
Gujarat Lions,Delhi Daredevils,Delhi Daredevils,Saurashtra Cricket Association Stadium,Rajkot,2016-05-03,Delhi Daredevils
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,2016-05-04,Kings XI Punjab
Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,Feroz Shah Kotla,Delhi,2016-05-05,Rising Pune Supergiants
Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-05-06,Sunrisers Hyderabad
Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2016-05-07,Royal Challengers Bangalore
Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-05-07,Delhi Daredevils
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-05-08,Mumbai Indians
Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Eden Gardens,Kolkata,2016-05-08,Gujarat Lions
Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-05-09,Kings XI Punjab
Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-05-10,Sunrisers Hyderabad
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2016-05-11,Mumbai Indians
Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2016-05-12,Delhi Daredevils
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-05-13,Mumbai Indians
Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2016-05-14,Gujarat Lions
Kolkata Knight Riders,Rising Pune Supergiants,Kolkata Knight Riders,Eden Gardens,Kolkata,2016-05-14,Rising Pune Supergiants
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,2016-05-15,Kings XI Punjab
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-05-15,Delhi Daredevils
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Eden Gardens,Kolkata,2016-05-16,Royal Challengers Bangalore
Rising Pune Supergiants,Delhi Daredevils,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-05-17,Rising Pune Supergiants
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2016-05-18,Kings XI Punjab
Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,Green Park,Kanpur,2016-05-19,Gujarat Lions
Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Raipur,2016-05-20,Delhi Daredevils
Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2016-05-21,Kings XI Punjab
Gujarat Lions,Mumbai Indians,Gujarat Lions,Green Park,Kanpur,2016-05-21,Gujarat Lions
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,2016-05-22,Sunrisers Hyderabad
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,Raipur,2016-05-22,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,2016-05-24,Royal Challengers Bangalore
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,2016-05-25,Kolkata Knight Riders
Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,2016-05-27,Sunrisers Hyderabad
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,2016-05-29,Sunrisers Hyderabad
