team1,team2,winner,venue,city,date,toss_winner
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,2012-05-23,Mumbai Indians
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2012-05-25,Delhi Capitals
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,2012-05-27,Chennai Super Kings
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Eden Gardens,Kolkata,2013-04-03,Kolkata Knight Riders
Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2013-04-04,Mumbai Indians
Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-04-05,Pune Warriors
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Feroz Shah Kotla,Delhi,2013-04-06,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,2013-04-06,Mumbai Indians
Pune Warriors,Punjab Kings,Punjab Kings,Subrata Roy Sahara Stadium,Pune,2013-04-07,Pune Warriors
Sunrisers Hyderabad,Royal Challengers Bengaluru,No Result,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-04-07,Royal Challengers Bengaluru
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-04-08,Kolkata Knight Riders
Mumbai Indians,Delhi Capitals,Mumbai Indians,Wankhede Stadium,Mumbai,2013-04-09,Mumbai Indians
Punjab Kings,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-04-10,Chennai Super Kings
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2013-04-11,Royal Challengers Bengaluru
Pune Warriors,Rajasthan Royals,Pune Warriors,Subrata Roy Sahara Stadium,Pune,2013-04-11,Rajasthan Royals
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,2013-04-12,Delhi Capitals
Mumbai Indians,Pune Warriors,Mumbai Indians,Wankhede Stadium,Mumbai,2013-04-13,Mumbai Indians
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2013-04-13,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,2013-04-14,Kolkata Knight Riders
Rajasthan Royals,Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-04-14,Rajasthan Royals
Chennai Super Kings,Pune Warriors,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai,2013-04-15,Pune Warriors
Punjab Kings,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-04-16,Kolkata Knight Riders
Royal Challengers Bengaluru,Delhi Capitals,No Result,M Chinnaswamy Stadium,Bangalore,2013-04-16,Royal Challengers Bengaluru
Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,Pune,2013-04-17,Pune Warriors
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-04-17,Rajasthan Royals
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Delhi,2013-04-18,Chennai Super Kings
Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-04-19,Punjab Kings
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Eden Gardens,Kolkata,2013-04-20,Kolkata Knight Riders
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2013-04-20,Royal Challengers Bengaluru
Delhi Capitals,Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,Delhi,2013-04-21,Mumbai Indians
Punjab Kings,Pune Warriors,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-04-21,Punjab Kings
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2013-04-22,Rajasthan Royals
Royal Challengers Bengaluru,Pune Warriors,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2013-04-23,Pune Warriors
Punjab Kings,Delhi Capitals,Punjab Kings,Himachal Pradesh Cricket Association Stadium,Dharamsala,2013-05-16,Delhi Capitals
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,2013-04-24,Kolkata Knight Riders
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2013-04-25,Sunrisers Hyderabad
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,2013-04-26,Punjab Kings
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-04-27,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Wankhede Stadium,Mumbai,2013-04-27,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2013-04-28,Kolkata Knight Riders
Delhi Capitals,Pune Warriors,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,Raipur,2013-04-28,Pune Warriors
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-04-29,Rajasthan Royals
Mumbai Indians,Punjab Kings,Mumbai Indians,Wankhede Stadium,Mumbai,2013-04-29,Mumbai Indians
Pune Warriors,Chennai Super Kings,Chennai Super Kings,Subrata Roy Sahara Stadium,Pune,2013-04-30,Chennai Super Kings
Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-05-01,Mumbai Indians
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,Raipur,2013-05-01,Kolkata Knight Riders
Chennai Super Kings,Punjab Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2013-05-02,Chennai Super Kings
Pune Warriors,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Subrata Roy Sahara Stadium,Pune,2013-05-02,Royal Challengers Bengaluru
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata,2013-05-03,Rajasthan Royals
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-05-04,Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,M Chinnaswamy Stadium,Bangalore,2013-05-14,Punjab Kings
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai,2013-05-05,Mumbai Indians
Rajasthan Royals,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-05-05,Pune Warriors
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2013-04-09,Sunrisers Hyderabad
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-05-07,Delhi Capitals
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,2013-05-07,Mumbai Indians
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-05-08,Sunrisers Hyderabad
Punjab Kings,Rajasthan Royals,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-05-09,Rajasthan Royals
Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Pune,2013-05-09,Kolkata Knight Riders
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Feroz Shah Kotla,Delhi,2013-05-10,Delhi Capitals
Pune Warriors,Mumbai Indians,Mumbai Indians,Subrata Roy Sahara Stadium,Pune,2013-05-11,Pune Warriors
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-05-11,Punjab Kings
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,JSCA International Stadium Complex,Ranchi,2013-05-12,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2013-05-12,Rajasthan Royals
Delhi Capitals,Punjab Kings,Punjab Kings,Feroz Shah Kotla,Delhi,2013-04-23,Punjab Kings
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai,2013-05-13,Sunrisers Hyderabad
Kolkata Knight Riders,Pune Warriors,Pune Warriors,JSCA International Stadium Complex,Ranchi,2013-05-15,Kolkata Knight Riders
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2013-05-14,Chennai Super Kings
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai,2013-05-15,Rajasthan Royals
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2013-05-06,Punjab Kings
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-05-17,Sunrisers Hyderabad
Punjab Kings,Mumbai Indians,Punjab Kings,Himachal Pradesh Cricket Association Stadium,Dharamsala,2013-05-18,Mumbai Indians
Pune Warriors,Delhi Capitals,Pune Warriors,Subrata Roy Sahara Stadium,Pune,2013-05-19,Pune Warriors
Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2013-05-18,Chennai Super Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2013-05-19,Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Feroz Shah Kotla,Delhi,2013-05-21,Chennai Super Kings
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Feroz Shah Kotla,Delhi,2013-05-22,Sunrisers Hyderabad
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Eden Gardens,Kolkata,2013-05-24,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Eden Gardens,Kolkata,2013-05-26,Mumbai Indians
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Sheikh Zayed Stadium,Abu Dhabi,2014-04-16,Kolkata Knight Riders
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sharjah Cricket Stadium,,2014-04-17,Royal Challengers Bengaluru
Chennai Super Kings,Punjab Kings,Punjab Kings,Sheikh Zayed Stadium,Abu Dhabi,2014-04-18,Chennai Super Kings
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,2014-04-18,Rajasthan Royals
Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Dubai International Cricket Stadium,,2014-04-19,Royal Challengers Bengaluru
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Dubai International Cricket Stadium,,2014-04-19,Kolkata Knight Riders
Rajasthan Royals,Punjab Kings,Punjab Kings,Sharjah Cricket Stadium,,2014-04-20,Punjab Kings
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Sheikh Zayed Stadium,Abu Dhabi,2014-04-21,Chennai Super Kings
Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sharjah Cricket Stadium,,2014-04-22,Sunrisers Hyderabad
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Dubai International Cricket Stadium,,2014-04-23,Rajasthan Royals
Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Sharjah Cricket Stadium,,2014-04-24,Royal Challengers Bengaluru
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Dubai International Cricket Stadium,,2014-04-25,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Dubai International Cricket Stadium,,2014-04-25,Mumbai Indians
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Sheikh Zayed Stadium,Abu Dhabi,2014-04-26,Rajasthan Royals
Kolkata Knight Riders,Punjab Kings,Punjab Kings,Sheikh Zayed Stadium,Abu Dhabi,2014-04-26,Kolkata Knight Riders
Delhi Capitals,Mumbai Indians,Delhi Capitals,Sharjah Cricket Stadium,,2014-04-27,Mumbai Indians
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Sharjah Cricket Stadium,,2014-04-27,Sunrisers Hyderabad
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Dubai International Cricket Stadium,,2014-04-28,Punjab Kings
Kolkata Knight Riders,Rajasthan Royals,No Result,Sheikh Zayed Stadium,Abu Dhabi,2014-04-29,Rajasthan Royals
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Dubai International Cricket Stadium,,2014-04-30,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,JSCA International Stadium Complex,Ranchi,2014-05-02,Chennai Super Kings
Mumbai Indians,Punjab Kings,Mumbai Indians,Wankhede Stadium,Mumbai,2014-05-03,Punjab Kings
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Feroz Shah Kotla,Delhi,2014-05-03,Rajasthan Royals
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2014-05-04,Royal Challengers Bengaluru
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,2014-05-05,Kolkata Knight Riders
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Delhi,2014-05-05,Chennai Super Kings
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Wankhede Stadium,Mumbai,2014-05-06,Royal Challengers Bengaluru
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,2014-05-07,Delhi Capitals
Punjab Kings,Chennai Super Kings,Punjab Kings,Barabati Stadium,Cuttack,2014-05-07,Chennai Super Kings
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",Ahmedabad,2014-05-08,Rajasthan Royals
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,M Chinnaswamy Stadium,Bangalore,2014-05-09,Royal Challengers Bengaluru
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi,2014-05-10,Sunrisers Hyderabad
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Mumbai,2014-05-10,Chennai Super Kings
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Barabati Stadium,Cuttack,2014-05-11,Kolkata Knight Riders
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,M Chinnaswamy Stadium,Bangalore,2014-05-11,Royal Challengers Bengaluru
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2014-05-12,Sunrisers Hyderabad
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,JSCA International Stadium Complex,Ranchi,2014-05-13,Rajasthan Royals
Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2014-05-13,Delhi Capitals
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2014-05-14,Punjab Kings
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Barabati Stadium,Cuttack,2014-05-14,Kolkata Knight Riders
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,2014-05-15,Delhi Capitals
Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,JSCA International Stadium Complex,Ranchi,2014-05-18,Chennai Super Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2014-05-18,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,Mumbai Indians,"Sardar Patel Stadium, Motera",Ahmedabad,2014-05-19,Mumbai Indians
Delhi Capitals,Punjab Kings,Punjab Kings,Feroz Shah Kotla,Delhi,2014-05-19,Punjab Kings
Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2014-05-20,Royal Challengers Bengaluru
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,2014-05-20,Kolkata Knight Riders
Punjab Kings,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2014-05-21,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Eden Gardens,Kolkata,2014-05-22,Royal Challengers Bengaluru
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,JSCA International Stadium Complex,Ranchi,2014-05-22,Sunrisers Hyderabad
Mumbai Indians,Delhi Capitals,Mumbai Indians,Wankhede Stadium,Mumbai,2014-05-23,Delhi Capitals
Punjab Kings,Rajasthan Royals,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2014-05-23,Rajasthan Royals
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,2014-05-24,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,2014-05-24,Kolkata Knight Riders
Punjab Kings,Delhi Capitals,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2014-05-25,Punjab Kings
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai,2014-05-25,Mumbai Indians
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens,Kolkata,2014-05-27,Punjab Kings
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Brabourne Stadium,Mumbai,2014-05-28,Chennai Super Kings
Chennai Super Kings,Punjab Kings,Punjab Kings,Wankhede Stadium,Mumbai,2014-05-30,Chennai Super Kings
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,2014-06-01,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Kolkata,2015-04-08,Kolkata Knight Riders
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2015-04-09,Delhi Capitals
Punjab Kings,Rajasthan Royals,Rajasthan Royals,Maharashtra Cricket Association Stadium,Pune,2015-04-10,Punjab Kings
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2015-04-11,Chennai Super Kings
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Eden Gardens,Kolkata,2015-04-11,Royal Challengers Bengaluru
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Feroz Shah Kotla,Delhi,2015-04-12,Rajasthan Royals
Mumbai Indians,Punjab Kings,Punjab Kings,Wankhede Stadium,Mumbai,2015-04-12,Mumbai Indians
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,M Chinnaswamy Stadium,Bangalore,2015-04-13,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,2015-04-14,Mumbai Indians
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,2015-04-30,Kolkata Knight Riders
Punjab Kings,Delhi Capitals,Delhi Capitals,Maharashtra Cricket Association Stadium,Pune,2015-04-15,Punjab Kings
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2015-04-16,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Mumbai,2015-04-17,Mumbai Indians
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2015-04-18,Delhi Capitals
Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,2015-04-18,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,2015-04-19,Chennai Super Kings
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,2015-04-19,Royal Challengers Bengaluru
Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,2015-04-20,Kolkata Knight Riders
Rajasthan Royals,Punjab Kings,No Result,"Sardar Patel Stadium, Motera",Ahmedabad,2015-04-21,Punjab Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,2015-04-22,Kolkata Knight Riders
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Bangalore,2015-04-22,Royal Challengers Bengaluru
Delhi Capitals,Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,Delhi,2015-04-23,Mumbai Indians
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Sardar Patel Stadium, Motera",Ahmedabad,2015-04-24,Royal Challengers Bengaluru
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Mumbai,2015-04-25,Mumbai Indians
Chennai Super Kings,Punjab Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2015-04-25,Chennai Super Kings
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Feroz Shah Kotla,Delhi,2015-04-26,Royal Challengers Bengaluru
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2015-04-27,Punjab Kings
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Eden Gardens,Kolkata,2015-05-07,Kolkata Knight Riders
Royal Challengers Bengaluru,Rajasthan Royals,No Result,M Chinnaswamy Stadium,Bangalore,2015-04-29,Rajasthan Royals
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2015-04-28,Kolkata Knight Riders
Delhi Capitals,Punjab Kings,Delhi Capitals,Feroz Shah Kotla,Delhi,2015-05-01,Delhi Capitals
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Mumbai,2015-05-01,Rajasthan Royals
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2015-05-02,Royal Challengers Bengaluru
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2015-05-02,Chennai Super Kings
Punjab Kings,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2015-05-03,Mumbai Indians
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Brabourne Stadium,Mumbai,2015-05-03,Delhi Capitals
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2015-05-04,Chennai Super Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata,2015-05-04,Sunrisers Hyderabad
Mumbai Indians,Delhi Capitals,Mumbai Indians,Wankhede Stadium,Mumbai,2015-05-05,Delhi Capitals
Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,2015-05-06,Punjab Kings
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Brabourne Stadium,Mumbai,2015-05-07,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,2015-05-08,Chennai Super Kings
Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,2015-05-09,Punjab Kings
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Raipur,2015-05-09,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Wankhede Stadium,Mumbai,2015-05-10,Royal Challengers Bengaluru
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai,2015-05-10,Chennai Super Kings
Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2015-05-11,Sunrisers Hyderabad
Delhi Capitals,Chennai Super Kings,Delhi Capitals,Shaheed Veer Narayan Singh International Stadium,Raipur,2015-05-12,Chennai Super Kings
Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2015-05-13,Royal Challengers Bengaluru
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,Mumbai,2015-05-14,Kolkata Knight Riders
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2015-05-15,Sunrisers Hyderabad
Punjab Kings,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2015-05-16,Punjab Kings
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Brabourne Stadium,Mumbai,2015-05-16,Rajasthan Royals
Royal Challengers Bengaluru,Delhi Capitals,No Result,M Chinnaswamy Stadium,Bangalore,2015-05-17,Royal Challengers Bengaluru
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2015-05-17,Sunrisers Hyderabad
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Wankhede Stadium,Mumbai,2015-05-19,Mumbai Indians
Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,Pune,2015-05-20,Royal Challengers Bengaluru
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,JSCA International Stadium Complex,Ranchi,2015-05-22,Chennai Super Kings
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Eden Gardens,Kolkata,2015-05-24,Chennai Super Kings
Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,Wankhede Stadium,Mumbai,2016-04-09,Mumbai Indians
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Eden Gardens,Kolkata,2016-04-10,Kolkata Knight Riders
