team1,team2,winner,venue,city,date,toss_winner
Rajasthan Royals,Delhi Capitals,Delhi Capitals,"Arun Jaitley Stadium, Delhi",Delhi,2026-05-17,Delhi Capitals
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,2026-05-18,Chennai Super Kings
Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Jaipur,2026-05-19,Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2026-05-20,Kolkata Knight Riders
Gujarat Titans,Chennai Super Kings,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2026-05-21,Chennai Super Kings
Sunrisers Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,2026-05-22,Sunrisers Hyderabad
Lucknow Super Giants,Punjab Kings,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,2026-05-23,Punjab Kings
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,2026-05-24,Mumbai Indians
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata,2026-05-24,Kolkata Knight Riders
Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,2026-05-26,Gujarat Titans
Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,2026-05-27,Sunrisers Hyderabad
Rajasthan Royals,Gujarat Titans,Gujarat Titans,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,2026-05-29,Rajasthan Royals
Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,2026-05-31,Royal Challengers Bengaluru
